#separator:tab
#html:false
# TOCFL Band C · Level 6 · 精通級 (C2) — second half of SC-TOP level-5 list
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
墨	mò	ink, handwriting
仕女	shì nǚ	palace maid, painting of beautiful women
市容	shì róng	appearance/condition of a city
世事	shì shì	the current affairs, affairs of the world
逝世	shì shì	pass away, die
事態	shì tài	state of affairs
試圖	shì tú	attempt, try
事務	shì wù	work, routine, general affairs
事宜	shì yí	matters concerned, arrangement
適宜	shì yí	suitable, appropriate
適中	shì zhōng	not extreme, moderate
收藏	shōu cáng	collect, store up
收費	shōu fèi	collect fees, charge
收集	shōu jí	collect, gather
收買	shōu mǎi	purchase, buy in, buy over, bribe
收縮	shōu suō	contract, shrink, concentrate one's force
收聽	shōu tīng	reception, rating
收益	shōu yì	profit, gain
守	shǒu	guard, defend, keep watch
手冊	shǒu cè	handbook, manual
首府	shǒu fǔ	capital
守護	shǒu hù	guard, defend
首領	shǒu lǐng	chieftain, leader
手槍	shǒu qiāng	pistol
手勢	shǒu shì	gesture, sign
首飾	shǒu shì	(woman's) jewelry, finery
首席	shǒu xí	seat of honor
首長	shǒu zhǎng	senior officer
受害	shòu hài	suffer injury/loss, be victimized
售貨員	shòu huò yuán	shop assistant, salesclerk
授課	shòu kè	give lessons
狩獵	shòu liè	hunt
壽星	shòu xīng	elderly person whose birthday is being celebrated
受訓	shòu xùn	receive/undergo training
梳	shū	comb hair
書本	shū běn	book
舒暢	shū chàng	entirely free from worry, relaxed, unbend, happy
疏導	shū dǎo	dredge, open up a path for
書面	shū miàn	written, in written form, in writing
疏散	shū sàn	scatter, disperse, relax by taking stroll
書寫	shū xiě	write
輸血	shū xiě	[medicine] blood transfusion
舒展	shū zhǎn	unfold, extend, smooth out, stretch
束縛	shù fú	tie up, fetter
數據	shù jù	data
樹苗	shù miáo	sapling
衰退	shuāi tuì	fail, decline
率	shuài	lead, command
霜	shuāng	frost, frostlike powder
雙胞胎	shuāng bāo tāi	twins
雙重	shuāng chóng	double, dual, twofold
雙打	shuāng dǎ	doubles
爽快	shuǎng kuài	straightforwardly
水道	shuǐ dào	water course/way/route
水稻	shuǐ dào	paddy (rice), rice
水晶	shuǐ jīng	crystal, rock crystal
水庫	shuǐ kù	reservoir
水力	shuǐ lì	waterpower, hydraulic power
水泥	shuǐ ní	cement
水源	shuǐ yuán	headwaters, waterhead, source of water
水蒸氣	shuǐ zhēng qì	steam
睡眠	shuì mián	sleep
瞬間	shùn jiān	breath, moment, jiff, breathing space, breathing place, twinkling, trice, breathing spell, breathing time, split second, instancy, breathing, wink, blink, shake, instant, mo, breather, blink of an eye, flash, twinkle, New York minute, minute, bit, in_a_moment, second, article, tran
順應	shùn yìng	comply with, conform to
說謊	shuō huǎng	tell a lie
說笑	shuō xiào	chat and laugh
碩士	shuò shì	Master (of Arts), M.A., eminent scholar
他人	tā rén	another person; others
塔	tǎ	pagoda, stupa, tower
踏實	tà shí	dependable, at ease, solid
台	tái	[event] measure word for performances, operas etc.on the stage
台階	tái jiē	flight of steps, way out (of awkward situation), bench
太極拳	tài jí quán	a kind of shadowboxing
太空	tài kōng	firmament, outer space
太平	tài píng	peaceful; peace and tranquility
態勢	tài shì	state, situation, posture
貪	tān	be corrupt, practice graft, covet, hanker after
攤位	tān wèi	stand, booth, stall
貪心	tān xīn	avaricious, greedy
攤子	tān zi	vendor's stand, stall, structure of an organization, setup
痰	tán	phlegm, sputum
談論	tán lùn	discuss
彈性	tán xìng	elasticity
坦克	tǎn kè	tank
坦然	tǎn rán	calm, unperturbed, frank, open
探病	tàn bìng	visit a patient
探究	tàn jiù	investigate
探索	tàn suǒ	explore, probe
探討	tàn tǎo	inquire into, explore
探望	tàn wàng	look about, visit
探險	tàn xiǎn	explore, adventure
湯圓	tāng yuán	glutinous rice dumplings
堂堂	táng táng	dignified, imposing, having high aspirations and boldness of vision
倘若	tǎng ruò	if, supposing, in case
陶器	táo qì	pottery, earthenware
逃生	táo shēng	flee for one's life
逃稅	táo shuì	dodge tax, evade tax, evade paying one's tax, evade one's tax
淘汰	táo tài	eliminate through selection/competition, die out
套	tào	[general] measure word for one's capability or measure
套裝	tào zhuāng	suit, pantdress
特此	tè cǐ	hereby
特區	tè qū	special zone
特權	tè quán	privilege, prerogative
特約	tè yuē	engage by special arrangement
特徵	tè zhēng	characteristic, trait, characteristic marks, features
疼愛	téng ' ài	love dearly
剔除	tī chú	reject, get rid of
啼	tí	cry, weep aloud, crow, caw
提拔	tí bá	promote
提倡	tí chàng	advocate, encourage, recommend
提出	tí chū	put forward, pose, raise
提及	tí jí	mention, refer to
提名	tí míng	nominate
提升	tí shēng	promote
提議	tí yì	propose, suggest
體操	tǐ cāo	gymnastics, calisthenics
體格	tǐ gé	physique, build
體積	tǐ jī	volume, bulk
體諒	tǐ liàng	make allowances for
體面	tǐ miàn	given honor, be honored
體系	tǐ xì	system, setup
體驗	tǐ yàn	learn through practice/experience
體質	tǐ zhí	physique, constitution
替代	tì dài	substitute for, replace, supersede
添	tiān	add, increase
天敵	tiān dí	natural enemy
天然氣	tiān rán qì	natural gas
天性	tiān xìng	natural instincts, nature
天災	tiān zāi	natural disaster
田地	tián dì	farmland, cropland, plight
田徑	tián jìng	sport
